xP2O5,yP2O5,xK2O,yK2O,xN,yN
1.58011049723757,0.001017397177393,1.46141437136754,0.000330202556203,0.576659951732248,0.000247414760954
2.87292817679558,0.000843819063764,1.4604935645974,0.000505314455995,1.4395755629575,0.000556683212146
3.87845303867403,0.002202730709577,2.17818570802569,0.000535359287842,2.44535971438259,0.0008040979731
5.02762430939226,0.002369914829854,3.03929350590362,0.000594761339363,3.59530885374075,0.000865951663338
6.1767955801105,0.002537098950132,3.32566441141783,0.000741031728609,4.60187087380577,0.001051512734053
7.32596685082873,0.003555248362037,3.68381987805438,0.000887388069376,5.32088078664459,0.001298927495007
9.19337016574585,0.003720551896035,4.40089815030256,0.00103417416775,6.32718351716297,0.001484488565722
11.3480662983425,0.003714910137196,4.54400686916216,0.001121902020689,7.76494405329397,0.001670049636438
20.3977900552486,0.003861407808395,5.11797642255076,0.001180960266124,8.62760037497257,0.00197931808763
22.121546961326,0.003856894401324,5.97877728483864,0.00129873295091,9.6341623950376,0.002164879158345
23.5580110497238,0.003853133228764,6.40871731259752,0.001445175243198,10.0661387797435,0.002412293919299
24.9944751381215,0.004530144289507,7.412626893745,0.001650675780922,11.2155693400084,0.002659708680253
26.4309392265193,0.005036962291923,7.6989977992592,0.001796946170168,11.7914514231007,0.002721562370491
27.7237569060773,0.005373963353271,8.27235348146771,0.001972745682131,12.6548856134192,0.003030830821683
29.0165745856354,0.006051350531269,9.42044605603994,0.002061676856371,13.3749326844446,0.003401952963114
30.5966850828729,0.006047213241453,9.70666349375912,0.002237132562248,14.0944611763767,0.003834928794783
32.1767955801105,0.006553655126614,10.998171722781,0.002355420956162,14.8139896683088,0.004144197245975
33.7569060773481,0.007060097011775,11.4285721539249,0.002414307298555,14.9584139457885,0.004453465697167
36.3425414364641,0.007223519959493,12.1454969583781,0.002590278713561,15.3911681991344,0.004639026767883
37.9226519337017,0.007219382669678,12.4323282672774,0.002648993152911,16.1109559806131,0.005072002599552
39.5027624309392,0.007725824554839,13.2932825973603,0.002737580521065,16.9746494604783,0.005443124740982
41.2265193370166,0.008231890322744,13.5804208418496,0.002737924327151,17.5507908331173,0.005876100572651
43.6685082872928,0.008736075504369,14.0099004662234,0.002971922569335,18.5576121427289,0.006247222714082
45.3922651933702,0.009242141272274,14.4004538829625,0.003024275851217,19.4205277539542,0.006556491165274
47.4033149171271,0.010428227038969,14.8471133743903,0.003024810660684,19.7096355984602,0.006803905926228
48.9834254143646,0.010764475865804,15.2296233274982,0.003090125327981,20.1413526936195,0.007236881757897
50.8508287292818,0.011440358574779,15.4209124080067,0.003116297035711,21.1484332927778,0.007422442828612
52.7182320441989,0.011775855167102,16.3138903513178,0.003182222913827,22.2986417216826,0.007793564970043
54.4419889502762,0.012452113993333,15.9311757744832,0.00315582200204,23.4478129924008,0.008040979730996
56.1657458563536,0.012787986702912,16.3776988500932,0.00318229931518,24.7408899615055,0.008040979730996
57.7458563535912,0.013805007763049,16.9516342995274,0.003247843186534,26.0334483515168,0.008102833421235
59.1823204419889,0.013971439648815,17.3344170842709,0.003261272846485,28.3317908929533,0.008040979730996
60.9060773480663,0.013966926241744,17.9084889495229,0.003300874214166,29.6251271516046,0.008040979730996
62.6298342541437,0.013962412834672,18.227463235491,0.003314227472764,31.0613319504558,0.008164687111473
63.9226519337016,0.013278255546066,18.6101096044168,0.003353599636388,32.9284759758262,0.008102833421235
65.2154696132597,0.012934484374112,19.2478535526263,0.003419219909095,34.3659772224106,0.008040979730996
66.5082872928177,0.012250327085506,18.9925513496158,0.003431885555521,35.6587949019686,0.00828839449195
68.0883977900552,0.01224618979569,19.8857339166537,0.003458897678128,37.3828110975926,0.00828839449195
70.5303867403315,0.011388830510711,20.396133698948,0.003472480140784,38.675369487604,0.008350248182189
91.0718232044199,0.011335045743108,20.9064652733335,0.003499033855276,39.8248000478688,0.00828839449195
92.2209944751381,0.010991650688409,21.5445502610875,0.003499797868801,41.1176177274269,0.008350248182189
93.0828729281768,0.010478814809896,22.1187585421573,0.003513456732809,42.1234018788519,0.008350248182189
95.2375690607735,0.00996259387608,22.5654180335851,0.003513991542276,43.2725731495702,0.008412101872427
96.8176795580111,0.009788263527939,23.0759542316973,0.003501631501259,44.4217444202884,0.008412101872427
98.3977900552486,0.00876296788817,23.5865586377183,0.003476300208406,45.4267507030736,0.008412101872427
101.414364640884,0.007904104134167,23.9057375474131,0.003450739711495,47.1502483196043,0.00828839449195
103.85635359116,0.007897710140816,24.7991929460866,0.003425866826757,48.873745936135,0.008226540801712
105.723756906077,0.007892820616488,25.2459206454234,0.003413430384387,49.8787522189202,0.008164687111473
108.453038674033,0.008396253563602,25.7564568435355,0.003401070343371,51.1713106089315,0.008040979730996
110.895027624309,0.007879280395274,26.2031163349633,0.003401605152838,52.8953268045555,0.007979126040758
112.475138121547,0.007194370872156,26.5859673276158,0.003402063560952,54.7627301194726,0.008040979730996
114.773480662983,0.006337387704433,26.9054190689462,0.003324618056696,56.3428406167102,0.008040979730996
116.497237569061,0.005822295122385,27.2882700615986,0.003325076464811,58.0665975227876,0.008040979730996
117.933701657459,0.004627182541546,28.0539038389946,0.003338964532876,59.5035801902786,0.008040979730996
119.513812154696,0.003772079960103,28.5004951225135,0.00335247059418,60.9416000159563,0.008164687111473
121.237569060774,0.00342718043638,28.9471546139414,0.003353005403647,61.9489399046612,0.008535809252904
,,29.5211582712844,0.003405578023164,62.9557612142729,0.008968785084573
,,29.903941056028,0.003419007683116,64.106488222271,0.009278053535765
,,30.6054935030129,0.003484704357174,64.6826295949099,0.009649175677196
